epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
99,3653.99,0.91762,0.68598,1.18717,0.83319,0.77443,0.84978,0.62747,0.92784,0.65678,1.19526,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,3690.72,0.92808,0.69121,1.18514,0.85845,0.75893,0.85277,0.6308,0.92443,0.64989,1.20109,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,3729.35,0.92805,0.69239,1.18668,0.84605,0.77913,0.85369,0.63232,0.92271,0.64757,1.19585,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,3768.49,0.91643,0.67571,1.1864,0.85862,0.7736,0.85624,0.63228,0.92605,0.64163,1.19763,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,3807.69,0.90828,0.67769,1.17791,0.86249,0.77254,0.85714,0.63404,0.92449,0.64397,1.19193,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,3845.79,0.91412,0.68104,1.18393,0.86337,0.77478,0.85958,0.63361,0.92702,0.63747,1.20016,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,3884.15,0.90994,0.67539,1.18057,0.86104,0.7752,0.85738,0.6379,0.91794,0.63103,1.18894,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,3922.41,0.89301,0.66163,1.16104,0.86639,0.77941,0.86047,0.64064,0.91072,0.6184,1.18375,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,3960.51,0.89871,0.66241,1.17366,0.84913,0.78937,0.86283,0.64178,0.90991,0.62562,1.18333,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,3997.44,0.91007,0.67402,1.1795,0.85535,0.78393,0.86211,0.64313,0.90821,0.62051,1.17945,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,4033.66,0.89203,0.66736,1.17092,0.85537,0.78734,0.86154,0.6424,0.89867,0.62978,1.17268,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,4071.36,0.90216,0.66278,1.16516,0.8595,0.78522,0.86297,0.64343,0.90321,0.62089,1.17396,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,4109.53,0.89225,0.65367,1.16548,0.86306,0.78937,0.86106,0.64553,0.89293,0.62498,1.17059,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,4147.85,0.88378,0.6507,1.16164,0.86811,0.7819,0.86506,0.64968,0.89418,0.62006,1.17038,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,4184.84,0.89166,0.66035,1.17008,0.86221,0.78975,0.86646,0.6481,0.89053,0.61562,1.16884,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,4221.86,0.88057,0.654,1.1669,0.85458,0.797,0.86484,0.64797,0.88863,0.61038,1.17014,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,4258.93,0.87618,0.64718,1.15731,0.86524,0.78904,0.8666,0.65029,0.88889,0.61256,1.16564,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,4295.82,0.88965,0.6547,1.16035,0.88375,0.7819,0.86937,0.65337,0.88467,0.59696,1.16215,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,4334.17,0.87246,0.63643,1.15038,0.86125,0.79887,0.86879,0.65115,0.88856,0.6033,1.1673,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,4372.54,0.87049,0.63681,1.14888,0.86322,0.79826,0.8676,0.6538,0.88705,0.60856,1.16797,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,4410.33,0.86732,0.63841,1.14838,0.86404,0.7974,0.8717,0.65407,0.8815,0.59681,1.16222,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,4451.11,0.86699,0.63766,1.15009,0.87181,0.7962,0.87239,0.65678,0.87915,0.59416,1.15887,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,4489.56,0.86624,0.62553,1.14029,0.89076,0.77412,0.87199,0.65762,0.87853,0.59717,1.15679,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,4530.24,0.86006,0.62808,1.13625,0.87211,0.7965,0.87054,0.65959,0.87429,0.58675,1.15211,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,4568.9,0.86149,0.62644,1.14615,0.88159,0.78771,0.87201,0.66085,0.87328,0.59168,1.15303,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,4607.57,0.85926,0.62471,1.1389,0.87227,0.79906,0.87611,0.66393,0.86559,0.58494,1.14701,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,4645.65,0.85465,0.61506,1.13438,0.87762,0.79657,0.87494,0.66572,0.86405,0.58617,1.14838,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,4682.57,0.85582,0.61401,1.13748,0.88508,0.78446,0.87301,0.66164,0.86408,0.5845,1.14503,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,4721.43,0.85657,0.62117,1.14131,0.88927,0.78494,0.8735,0.66323,0.85977,0.5868,1.14298,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
